2026-05-22 09:59:53.808 | INFO     | prospective_validation.model_loader:load_frozen_champion:180 | Loading frozen LSTM champion: model_lstm_sunflower.keras
2026-05-22 09:59:54.182 | INFO     | prospective_validation.model_loader:load_frozen_champion:217 | Frozen champion loaded. LSTM sha256=43ef61b5a70f16cd (truncated)
2026-05-22 09:59:54.202 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] sunflower_doy_climatology unchanged (3cd26360ff41)
2026-05-22 09:59:54.293 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 09:59:54.310 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 09:59:54.325 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 09:59:54.345 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 09:59:54.362 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 09:59:54.373 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 09:59:54.388 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 10:00:19.312 | INFO     | prospective_validation.frozen_model_predictor:predict_ndvi_series:146 | [predictor] produced 336 predictions (2024-01-30 → 2024-12-30)
2026-05-22 10:00:19.327 | INFO     | prospective_validation.actuals:from_master_matrix:74 | [actuals] master raw NDVI: 358 cloud-free days of 2922 total
2026-05-22 10:00:19.378 | INFO     | prospective_validation.live_validator:report:145 | [validator] EVR_01: matched 233/336 (69.3%) — R²=0.625, MAE=0.0604, naive MAE=0.0646
2026-05-22 10:05:14.379 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 10:05:14.422 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 10:05:14.435 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 10:05:14.448 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 10:05:14.460 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 10:05:14.474 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 10:05:14.485 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 10:05:14.496 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 10:05:14.496 | INFO     | prospective_validation.model_loader:load_frozen_champion:176 | Registering CP2 custom layers (SelfAttention, ExtractLastNDVI, ScaleDelta) …
2026-05-22 10:05:22.102 | INFO     | prospective_validation.model_loader:load_frozen_champion:180 | Loading frozen LSTM champion: model_lstm_sunflower.keras
2026-05-22 10:05:22.460 | INFO     | prospective_validation.model_loader:load_frozen_champion:217 | Frozen champion loaded. LSTM sha256=43ef61b5a70f16cd (truncated)
2026-05-22 10:05:22.481 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] sunflower_doy_climatology unchanged (3cd26360ff41)
2026-05-22 10:05:22.569 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 10:05:22.589 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 10:05:22.605 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 10:05:22.623 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 10:05:22.642 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
