prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2025-06-11,2025-06-18,0.5264375343441964,0.5336714386940002,-0.007233904349803866,0.7893155813217163,0.34155833333333335,0.18487920101086303,2025-06-20,0.6292,s2_gee_raw,2,0.1027624656558036,0.09552856130599974
2025-06-12,2025-06-19,0.5455977488577366,0.555400013923645,-0.009802265065908422,0.8168961405754089,0.339134375,0.2064633738577366,2025-06-20,0.6292,s2_gee_raw,1,0.08360225114226338,0.07379998607635496
2025-06-13,2025-06-20,0.542659897607565,0.5547833442687988,-0.012123446661233883,0.812667191028595,0.3257125,0.21694739760756493,2025-06-20,0.6292,s2_gee_raw,0,0.08654010239243504,0.07441665573120115
2025-06-14,2025-06-21,0.5397261870920659,0.5541666746139526,-0.014440487521886758,0.8084442019462585,0.39379375,0.14593243709206588,2025-06-20,0.6292,s2_gee_raw,1,0.0894738129079341,0.07503332538604734
2025-06-15,2025-06-22,0.5367254380822182,0.5535500049591064,-0.01682456687688827,0.8041247129440308,0.39379375,0.14293168808221818,2025-06-22,0.6860999999999999,s2_gee_raw,0,0.14937456191778176,0.1325499950408935
2025-06-16,2025-06-23,0.5495660219311714,0.5686799883842468,-0.019113966453075393,0.8226083517074585,0.3838458333333333,0.16572018859783816,2025-06-22,0.6860999999999999,s2_gee_raw,1,0.1365339780688285,0.1174200116157531
2025-06-17,2025-06-24,0.5626079282999039,0.5838099718093872,-0.021202043509483293,0.8413817882537842,0.390821875,0.17178605329990393,2025-06-25,0.68155,s2_gee_raw,1,0.11894207170009607,0.09774002819061278
2025-06-18,2025-06-25,0.5759827083289624,0.5989400148391724,-0.022957306510209996,0.8606343865394592,0.3691875,0.20679520832896237,2025-06-25,0.68155,s2_gee_raw,0,0.10556729167103762,0.08260998516082763
2025-06-19,2025-06-26,0.589565311831236,0.6140699982643127,-0.024504686433076794,0.880186140537262,0.38785,0.20171531183123598,2025-06-25,0.68155,s2_gee_raw,1,0.09198468816876404,0.06748000173568725
2025-06-20,2025-06-27,0.6032881620168686,0.6292000412940979,-0.025911879277229266,0.899939775466919,0.38785,0.21543816201686866,2025-06-25,0.68155,s2_gee_raw,2,0.07826183798313135,0.05234995870590209
